,id,location name,type,title,features,pool,sea view,garage
0,44525,Golden Mile,houses,"Stunning 6 bedroom villa in the heart of the Golden Mile, Marbella",,0.0,0.0,0.0
1,44859,Nagüeles,houses,"Villa for sale in Rocio de Nagüeles, Marbella Golden Mile",,0.0,0.0,0.0
2,45465,Nagüeles,houses,One level 5 bedroom villa for sale in Nagüeles,,0.0,0.0,0.0
3,50685,Nagüeles,,Large estate for sale in Rocio de Nagueles,,0.0,0.0,0.0
4,130728,Golden Mile,houses,Palatial Villa on Marbellas Golden Mile with Panoramic Sea Views,"Fireplace, Elevator, Terrace, Mountain view, Freight Elevator, Air conditioning, Patio, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen",0.0,1.0,0.0
5,130856,Nagüeles,plots,Large plot with fantastic views in Nagüeles,Mountain view,0.0,0.0,0.0
6,130857,Golden Mile,apartments,Modern Design Penthouse on second line beach Golden Mile,"Elevator, Terrace, Alarm system, Mountain view, Swimming pool, Air conditioning, Basement, Sea/lake view",1.0,1.0,0.0
7,130897,Golden Mile,houses,Spacious Beachside Villa Casablanca Marbella Golden Mile,"Fireplace, Elevator, Terrace, Alarm system, Swimming pool, Basement, Guest toilet, Built-in kitchen",1.0,0.0,0.0
8,130917,Golden Mile,houses,Modern Designer Villa with Stunning Views Golden Mile,"Fireplace, Terrace, Alarm system, Mountain view, Swimming pool, Air conditioning, Basement, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
9,130978,Nagüeles,houses,Beautiful Villa at the top of Nagüeles with panoramic views,"Security system, Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Gym, Guest toilet, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
10,131009,Nagüeles,plots,Great plot for Apartment building Nagüeles with sea views,"Mountain view, Sea/lake view",0.0,1.0,0.0
11,131037,Golden Mile,houses,Luxurious Villa in Private Gated Community Marbella Golden Mile,"Fireplace, Elevator, Terrace, Alarm system, Accessible for wheelchairs, Mountain view, Jacuzzi, Swimming pool, Air conditioning, Basement, Sauna, Guest toilet, Balcony, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
