,id,location name,type,area,price,over-valued,under-valued,normal
0,44525,Golden Mile,houses,918.0,4400000,0.0,1.0,0.0
2,45465,Nagüeles,houses,393.0,1900000,1.0,0.0,0.0
4,130728,Golden Mile,houses,4903.0,32000000,1.0,0.0,0.0
5,130856,Nagüeles,plots,5528.0,2900000,0.0,1.0,0.0
6,130857,Golden Mile,apartments,530.0,3900000,1.0,0.0,0.0
7,130897,Golden Mile,houses,450.0,3148000,1.0,0.0,0.0
8,130917,Golden Mile,houses,845.0,2950000,0.0,1.0,0.0
9,130978,Nagüeles,houses,738.0,2400000,0.0,0.0,1.0
10,131009,Nagüeles,plots,2014.0,2169448,1.0,0.0,0.0
11,131037,Golden Mile,houses,603.0,1950000,0.0,1.0,0.0
12,131058,Golden Mile,houses,608.0,1850000,0.0,1.0,0.0
13,131259,Golden Mile,apartments,194.0,1150000,0.0,0.0,1.0
14,131274,Nagüeles,apartments,335.0,1100000,0.0,0.0,1.0
15,131297,Golden Mile,houses,127.0,995000,1.0,0.0,0.0
16,131403,Golden Mile,apartments,367.0,790000,0.0,1.0,0.0
17,131417,Nagüeles,houses,249.0,765000,0.0,0.0,1.0
18,131512,Nagüeles,houses,397.0,585000,0.0,1.0,0.0
19,131589,Nagüeles,houses,304.0,550000,0.0,1.0,0.0
20,131650,Nagüeles,houses,168.7,460000,0.0,1.0,0.0
21,131694,Golden Mile,apartments,77.0,415000,0.0,0.0,1.0
22,131703,Nagüeles,apartments,157.0,400000,0.0,1.0,0.0
23,131765,Nagüeles,houses,174.0,350000,0.0,1.0,0.0
24,131820,Nagüeles,houses,192.0,288750,0.0,1.0,0.0
25,131878,Nagüeles,apartments,130.0,260000,0.0,1.0,0.0
34,133646,Nagüeles,houses,672.0,4500000,1.0,0.0,0.0
35,133676,Nagüeles,houses,872.0,2900000,0.0,0.0,1.0
36,133733,Nagüeles,houses,382.0,2995000,1.0,0.0,0.0
37,133780,Nagüeles,houses,338.0,2580000,1.0,0.0,0.0
38,133794,Nagüeles,houses,450.0,2500000,1.0,0.0,0.0
39,133831,Golden Mile,apartments,199.0,2300000,1.0,0.0,0.0
40,133908,Nagüeles,houses,340.0,1790000,1.0,0.0,0.0
41,133938,Nagüeles,houses,434.0,1595000,1.0,0.0,0.0
42,133960,Nagüeles,houses,527.0,1495000,0.0,1.0,0.0
43,133961,Golden Mile,apartments,128.0,1350000,1.0,0.0,0.0
44,134014,Golden Mile,apartments,183.0,1300000,1.0,0.0,0.0
45,134023,Nagüeles,houses,233.0,1275000,1.0,0.0,0.0
46,134051,Golden Mile,apartments,172.0,1200000,1.0,0.0,0.0
47,134086,Golden Mile,apartments,157.0,999000,0.0,0.0,1.0
48,134101,Nagüeles,houses,133.0,799000,1.0,0.0,0.0
49,134124,Golden Mile,apartments,163.0,980000,0.0,0.0,1.0
50,134252,Nagüeles,houses,159.0,765000,1.0,0.0,0.0
51,134273,Nagüeles,houses,284.0,725000,0.0,1.0,0.0
52,134363,Nagüeles,houses,168.0,595000,1.0,0.0,0.0
53,134574,Nagüeles,houses,147.0,430000,0.0,0.0,1.0
54,134581,Nagüeles,houses,170.0,425000,0.0,1.0,0.0
55,137331,Golden Mile,houses,684.0,1850000,0.0,1.0,0.0
56,137573,Nagüeles,houses,282.0,470000,0.0,1.0,0.0
57,137595,Nagüeles,houses,629.0,2500000,1.0,0.0,0.0
59,138136,Nagüeles,apartments,74.0,191000,0.0,1.0,0.0
61,138255,Nagüeles,apartments,95.0,287000,0.0,0.0,1.0
62,138354,Nagüeles,plots,1165.0,350000,0.0,1.0,0.0
63,138378,Nagüeles,apartments,75.0,375000,1.0,0.0,0.0
64,138395,Nagüeles,apartments,115.0,390000,1.0,0.0,0.0
65,138413,Nagüeles,apartments,207.0,400000,0.0,1.0,0.0
66,138449,Nagüeles,houses,614.0,2850000,1.0,0.0,0.0
67,138452,Nagüeles,houses,283.0,430000,0.0,1.0,0.0
71,138523,Nagüeles,houses,368.0,495000,0.0,1.0,0.0
72,138534,Nagüeles,houses,472.0,1350000,0.0,1.0,0.0
74,138629,Nagüeles,apartments,90.0,525000,1.0,0.0,0.0
75,138638,Nagüeles,houses,599.0,1250000,0.0,1.0,0.0
76,138655,Nagüeles,apartments,312.0,1390000,1.0,0.0,0.0
77,138682,Golden Mile,apartments,211.0,580000,0.0,1.0,0.0
78,138731,Golden Mile,apartments,210.0,630000,0.0,1.0,0.0
79,138768,Nagüeles,apartments,174.0,650000,1.0,0.0,0.0
80,138771,Golden Mile,apartments,173.0,670000,0.0,1.0,0.0
82,138856,Nagüeles,houses,210.0,765000,1.0,0.0,0.0
83,138877,Golden Mile,apartments,120.0,795000,1.0,0.0,0.0
85,138887,Nagüeles,apartments,241.0,795000,0.0,0.0,1.0
87,138939,Nagüeles,apartments,240.0,850000,1.0,0.0,0.0
88,138998,Golden Mile,apartments,211.0,895000,0.0,1.0,0.0
89,139021,Golden Mile,apartments,300.0,1170000,0.0,1.0,0.0
90,139025,Nagüeles,apartments,120.0,900000,1.0,0.0,0.0
91,139050,Nagüeles,houses,641.0,4250000,1.0,0.0,0.0
92,139068,Golden Mile,houses,775.0,7900000,1.0,0.0,0.0
93,139074,Golden Mile,apartments,215.0,1100000,0.0,1.0,0.0
94,139106,Nagüeles,houses,350.0,995000,0.0,1.0,0.0
95,139113,Nagüeles,houses,267.0,1690000,1.0,0.0,0.0
96,139155,Nagüeles,apartments,170.0,1096000,1.0,0.0,0.0
97,139168,Golden Mile,apartments,200.0,1100000,0.0,0.0,1.0
98,139202,Nagüeles,houses,393.0,1900000,1.0,0.0,0.0
99,139227,Golden Mile,apartments,317.0,1250000,0.0,1.0,0.0
100,139235,Golden Mile,apartments,153.0,1250000,1.0,0.0,0.0
101,139335,Golden Mile,houses,300.0,1400000,0.0,1.0,0.0
102,139351,Nagüeles,houses,200.0,1250000,1.0,0.0,0.0
103,139359,Golden Mile,apartments,196.0,1450000,1.0,0.0,0.0
104,139423,Nagüeles,houses,434.0,1595000,1.0,0.0,0.0
105,139438,Nagüeles,apartments,113.0,265125,0.0,1.0,0.0
106,139506,Nagüeles,houses,322.0,1790000,1.0,0.0,0.0
107,139596,Nagüeles,houses,393.0,2100000,1.0,0.0,0.0
109,139660,Nagüeles,houses,738.0,2400000,0.0,0.0,1.0
110,139683,Nagüeles,houses,450.0,2500000,1.0,0.0,0.0
111,139715,Nagüeles,houses,338.0,2500000,1.0,0.0,0.0
112,139742,Nagüeles,houses,200.0,595000,0.0,0.0,1.0
114,139789,Nagüeles,houses,950.0,2900000,0.0,0.0,1.0
115,139916,Nagüeles,plots,3707.0,3855000,1.0,0.0,0.0
116,139932,Nagüeles,houses,836.0,3745000,1.0,0.0,0.0
117,139937,Nagüeles,houses,870.0,3995000,1.0,0.0,0.0
118,140062,Nagüeles,houses,295.0,399000,0.0,1.0,0.0
119,141963,Nagüeles,houses,290.0,550000,0.0,1.0,0.0
120,145972,Golden Mile,apartments,229.0,2400000,1.0,0.0,0.0
121,145997,Golden Mile,apartments,168.0,1100000,1.0,0.0,0.0
122,146005,Golden Mile,apartments,167.0,895000,0.0,0.0,1.0
123,146009,Golden Mile,apartments,174.0,799000,0.0,1.0,0.0
124,146013,Golden Mile,apartments,162.0,775000,0.0,1.0,0.0
125,146017,Golden Mile,apartments,162.0,750000,0.0,1.0,0.0
126,146023,Golden Mile,apartments,184.0,670000,0.0,1.0,0.0
127,146044,Golden Mile,apartments,87.0,475000,0.0,0.0,1.0
128,146049,Golden Mile,houses,127.0,415000,0.0,1.0,0.0
129,146054,Golden Mile,apartments,152.0,350000,0.0,1.0,0.0
130,146056,Golden Mile,apartments,70.0,372000,0.0,0.0,1.0
131,146062,Nagüeles,apartments,113.0,285000,0.0,1.0,0.0
146,151180,Nagüeles,apartments,125.0,158000,0.0,1.0,0.0
147,151353,Nagüeles,apartments,52.0,165000,0.0,0.0,1.0
148,151636,Nagüeles,apartments,60.0,180000,0.0,0.0,1.0
149,151665,Nagüeles,apartments,57.0,180000,0.0,0.0,1.0
150,151772,Nagüeles,apartments,70.0,195000,0.0,0.0,1.0
151,151820,Nagüeles,apartments,80.0,186000,0.0,1.0,0.0
